气 ? 	概  慨
? 竹 难 书 	罄  磬
声 名 ? 起 	鹊  雀
额 ? 称 庆 	首  手
滥 ? 充 数 	芋  竽
床 ? 之 私 	笫  第
穷 兵 ? 武 	渎  黩
? 气 凝 神 	摒  屏
惨 绝 人 ? 	圜  寰
? 隐 之 心 	测  恻
? 聋 发 聩 	震  振
愤 ? 不 平 	闷  懑
昏 ? 无 能 	馈  聩
? 壁 清 野 	坚  艰
? 若 晨 星 	廖  寥
? 懂 无 知 	朦  懵
? 烂 不 堪 	靡  糜
? 天 大 谎 	迷  弥
祖 传 ? 方 	密  秘
? 思 苦 想 	冥  瞑
图 穷 匕 ? 	见  现
? 哲 保 身 	名  明
名 门 ? 族 	旺  望
? 然 泪 下 	黯  暗
自 ? 更 生 	立  力
纵 横 捭 ? 	阖  合
? 手 可 热 	灸  炙
直 ? 了 当 	截  接
绿 草 如 ? 	茵  荫
? 红 了 脸 	胀  涨
一 ? 作 气 	鼓  股
悬 梁 刺 ? 	股  骨
鬼 鬼 祟 ? 	崇  祟
饮 ? 止 渴 	鸩  鸠
洁 白 无 ? 	暇  瑕
? 官 野 史 	裨  稗
飞 扬 ? 扈 	跋  拔
白 ? 微 瑕 	壁  璧
百 尺 ? 头 	杆  竿
罢 ? 百 家 	黜  绌
军 事 ? 署 	部  布
? 不 罢 休 	绝  决
? 肥 体 壮 	骠  膘
变 本 加 ? 	利  厉
病 入 膏 ? 	盲  肓
人 所 不 ? 	耻  齿
并 行 不 ? 	悖  背
? 然 一 笑 	粲  灿
插 科 打 ? 	浑  诨
蝉 ? 冠 军 	联  连
吹 毛 求 ? 	疵  刺
传 ? 一 时 	诵  颂
惩 前 ? 后 	毖  毙
掂 斤 ? 两 	拨  播
? 过 难 关 	渡  度
? 内 之 事 	分  份
精 兵 ? 政 	减  简
精 诚 所 ? 	至  致
以 ? 效 尤 	警  儆
精 神 矍 ? 	铄  烁
沦 肌 ? 髓 	浃  夹
门 里 出 ? 	生  身
计 日 ? 功 	成  程
金 ? 辉 煌 	碧  壁
? 平 叛 乱 	勘  戡
明 火 执 ? 	杖  仗
耳 根 清 ? 	静  净
畏 ? 不 前 	葸  崽
仗 义 ? 言 	执  直
爱 ? 	带  戴
? 乱 	暴  爆
报 ? 	酬  筹
? 炸 	暴  爆
卑 ? 	怯  却
? 析 	辨  辩
? 华 	材  才
? 游 	翱  遨
? 裁 	仲  中
雕 ? 	彻  砌
? 谣 	劈  辟
? 视 	缈  藐
? 然 	蓦  募
? 捐 	募  蓦
杂 ? 	踏  沓
疏 ? 	峻  浚
开 ? 	销  消
肿 ? 	涨  胀
羁 ? 	靡  縻
描 ? 	模  摹
? 翔 	遨  翱
亵 ? 	赎  渎
? 染 	渲  宣
延 ? 	伸  申
奢 ? 	靡  糜
永 ? 	诀  决
? 打 	欧  殴
按 ? 	磨  摩
? 躁 	爆  暴
蛰 ? 	蜇  蛰
显 ? 管 	象  像
? 发 户 	暴  爆
? 事 者 	肇  造
暖 烘 ? 	烘  哄
天 然 ? 	气  汽
煤 ? 机 	气  汽
引 ? 义 	申  伸
冷 不 ? 	妨  防
百 ? 成 钢 	练  炼
火 山 ? 发 	爆  暴
和 ? 可 亲 	蔼  霭
爱 ? 及 乌 	屋  乌
安 ? 守 己 	分  份
? 居 乐 业 	按  安
? 无 天 日 	黯  暗
嗷 ? 待 哺 	嗷  敖
英 雄 ? 出 	倍  辈
半 途 而 ? 	费  废
? 声 叹 气 	哀  唉
山 洪 ? 发 	爆  暴
武 装 ? 动 	爆  暴
五 色 斑 ? 	澜  斓
百 步 ? 杨 	串  穿
百 战 不 ? 	殆  贻
大 有 ? 益 	稗  裨
原 物 ? 还 	必  璧
森 严 壁 ? 	垒  磊
鞭 ? 入 里 	辟  僻
能 言 善 ? 	辨  辩
? 炳 千 古 	标  彪
别 出 心 ? 	裁  才
? 然 一 新 	焕  涣
拨 乱 ? 正 	反  返
不 共 ? 天 	带  戴
不 ? 顾 及 	惶  遑
不 ? 其 数 	记  计
不 ? 不 离 	即  既
不 卑 不 ? 	亢  吭
? 往 不 究 	继  既
不 ? 之 论 	刊  堪
不 ? 一 文 	明  名
不 求 ? 解 	甚  深
宁 死 不 ? 	曲  屈
麻 木 不 ? 	忍  仁
不 ? 之 兆 	祥  详
步 履 维 ? 	艰  坚
雄 ? 大 略 	才  材
神 采 奕 ? 	弈  奕
? 华 横 溢 	材  才
兴 高 ? 烈 	采  彩
张 灯 结 ? 	采  彩
? 海 桑 田 	沧  苍
? 茫 大 地 	苍  沧
藏 污 纳 ? 	诟  垢
? 出 不 穷 	成  层
层 见 ? 出 	叠  迭
层 峦 叠 ? 	障  嶂
陈 陈 相 ? 	应  因
陈 词 ? 调 	滥  烂
自 学 成 ? 	材  才
惩 一 ? 百 	禁  儆
吃 里 ? 外 	爬  扒
? 之 以 鼻 	嗤  斥
? 耳 不 闻 	充  冲
首 当 其 ? 	充  冲
忧 心 忡 ? 	冲  忡
山 峦 重 ? 	叠  迭
重 ? 旗 鼓 	振  震
出 类 拔 ? 	萃  粹
出 奇 ? 胜 	致  制
出 人 ? 地 	投  头
处 心 ? 虑 	积  集
? 流 不 息 	川  穿
从 ? 计 议 	常  长
粗 枝 大 ? 	叶  意
粗 制 ? 造 	烂  滥
? 火 积 薪 	厝  措
? 手 不 及 	错  措
大 ? 小 用 	材  才
大 放 ? 词 	獗  厥
大 声 ? 呼 	急  疾
大 ? 广 众 	廷  庭
虎 视 眈 ? 	耽  眈
倒 打 一 ? 	耙  把
得 不 ? 失 	尝  偿
得 ? 望 蜀 	垄  陇
地 大 物 ? 	搏  博
草 木 ? 零 	雕  凋
? 虫 小 技 	雕  凋
? 以 轻 心 	调  掉
? 虎 离 山 	调  吊
迭 ? 强 敌 	错  挫
? 床 架 屋 	叠  迭
动 ? 得 咎 	则  辄
以 毒 ? 毒 	攻  功
独 ? 一 面 	当  挡
独 ? 蹊 径 	劈  辟
独 占 ? 头 	螯  鳌
? 贤 妒 能 	疾  嫉
? 绝 浪 费 	堵  杜
断 章 取 ? 	义  意
对 ? 下 药 	针  症
两 军 对 ? 	峙  恃
咄 ? 逼 人 	咄  绌
恶 ? 满 盈 	灌  贯
发 号 ? 令 	司  施
令 人 发 ? 	直  指
繁 文 ? 节 	溽  缛
易 如 ? 掌 	反  翻
防 患 未 ? 	燃  然
? 声 文 坛 	蜚  飞
成 绩 ? 然 	蜚  斐
缠 绵 悱 ? 	恻  测
妄 自 ? 薄 	非  菲
? 夷 所 思 	非  匪
纲 纪 废 ? 	弛  驰
? 寝 忘 食 	废  费
? 尽 心 思 	费  废
分 道 扬 ? 	镳  标
分 庭 抗 ? 	礼  理
纷 至 ? 来 	踏  沓
焚 膏 ? 晷 	既  继
奋 笔 ? 书 	疾  急
丰 功 伟 ? 	迹  绩
蜂 ? 而 至 	涌  拥
凤 冠 霞 ? 	披  帔
幅 ? 辽 阔 	圆  员
浮 光 ? 影 	掠  略
? 底 抽 薪 	釜  斧
付 ? 东 流 	逐  诸
甘 ? 下 风 	拜  败
改 ? 归 正 	邪  斜
甘 之 如 ? 	怡  饴
感 恩 ? 德 	戴  带
根 深 ? 固 	蒂  底
工 力 悉 ? 	敌  抵
功 亏 一 ? 	篑  蒉
全 神 ? 注 	灌  贯
鬼 斧 神 ? 	工  功
鬼 ? 伎 俩 	域  蜮
过 ? 不 及 	不  犹
? 若 寒 蝉 	禁  噤
含 辛 ? 苦 	如  茹
? 盘 托 出 	合  和
? 堂 大 笑 	哄  轰
后 发 ? 人 	制  治
? 地 为 牢 	划  画
回 光 ? 照 	反  返
独 具 ? 眼 	慧  惠
浑 浑 噩 ? 	噩  恶
浑 玉 ? 金 	朴  璞
? 然 开 朗 	霍  豁
祸 国 ? 民 	秧  殃
? 浊 扬 清 	激  击
? 言 厉 色 	疾  急
集 ? 成 裘 	液  腋
济 ? 一 堂 	挤  济
肆 无 忌 ? 	殚  惮
? 往 开 来 	继  既
? 言 懿 行 	嘉  佳
? 不 可 摧 	艰  坚
坚 ? 不 拔 	韧  忍
历 尽 ? 辛 	艰  坚
? 难 困 苦 	艰  坚
? 长 补 短 	截  接
可 资 借 ? 	鉴  监
弱 不 ? 风 	经  禁
金 刚 ? 目 	怒  努
金 ? 钻 头 	钢  刚
? 无 仅 有 	绝  决
? 身 三 强 	挤  跻
居 心 ? 测 	叵  破
? 形 鹄 面 	鸠  鸩
举 一 ? 三 	反  返
拒 谏 ? 非 	是  饰
一 应 ? 全 	具  俱
赞 不 ? 口 	决  绝
? 工 验 收 	竣  峻
开 诚 ? 公 	布  不
开 门 ? 盗 	揖  缉
开 天 ? 地 	辟  劈
开 ? 明 义 	中  宗
刻 ? 人 物 	划  画
科 头 ? 足 	跣  洗
? 己 奉 公 	刻  克
困 兽 ? 斗 	犹  尤
味 同 嚼 ? 	蜡  腊
意 兴 阑 ? 	珊  姗
无 耻 ? 言 	谰  滥
宁 缺 毋 ? 	烂  滥
老 ? 持 重 	成  陈
老 奸 巨 ? 	猾  滑
雷 ? 风 行 	厉  历
礼 ? 往 来 	尚  上
理 ? 词 穷 	曲  屈
立 ? 见 影 	杆  竿
立 功 ? 罪 	渎  赎
? 精 图 治 	励  厉
? 行 节 约 	励  厉
历 ? 在 目 	历  厉
藕 断 丝 ? 	连  联
连 锁 反 ? 	映  应
横 征 暴 ? 	殓  敛
一 ? 半 爪 	麟  鳞
? 览 报 纸 	浏  流
老 态 龙 ? 	钟  肿
炉 火 ? 青 	纯  成
? 露 头 角 	崭  暂
? 力 同 心 	戳  戮
? 力 过 人 	膂  旅
攻 城 ? 地 	略  剠
无 与 ? 比 	论  伦
? 功 行 赏 	轮  论
? 条 斯 理 	漫  慢
? 不 经 心 	漫  慢
毛 骨 ? 然 	悚  耸
名 列 前 ? 	茅  矛
貌 ? 神 离 	合  和
? 然 从 事 	冒  贸
无 精 打 ? 	彩  采
门 ? 若 市 	庭  廷
欲 盖 ? 彰 	弥  迷
望 风 披 ? 	靡  糜
? 日 不 思 	靡  糜
靡 ? 之 音 	靡  糜
? 而 不 宣 	密  秘
沉 ? 往 事 	湎  缅
? 怀 先 烈 	湎  缅
面 面 ? 到 	俱  具
虚 无 缥 ? 	渺  缈
死 不 ? 目 	瞑  冥
薄 暮 ? 冥 	暝  冥
? 肩 擦 背 	磨  摩
? 崖 石 刻 	磨  摩
顶 礼 ? 拜 	模  膜
穷 途 ? 路 	末  没
莫 ? 一 是 	衷  中
? 齿 不 忘 	末  没
? 取 暴 利 	牟  谋
暮 ? 沉 沉 	霭  蔼
目 不 ? 接 	瑕  暇
令 人 目 ? 	炫  眩
? 石 流 金 	烁  铄
各 ? 其 职 	施  司
死 心 ? 地 	塌  踏
? 人 听 闻 	耸  悚
追 本 ? 源 	溯  朔
素 昧 平 ? 	生  身
随 声 附 ? 	和  合
贪 ? 枉 法 	脏  赃
昙 花 一 ? 	现  显
? 胸 露 臂 	坦  袒
叹 为 观 ? 	止  之
富 丽 ? 皇 	堂  唐
? 写 文 章 	誊  誉
醍 醐 ? 顶 	贯  灌
提 心 ? 胆 	掉  吊
? 纲 挈 领 	提  题
天 经 地 ? 	义  仪
天 ? 难 容 	理  礼
? 而 走 险 	挺  铤
通 货 膨 ? 	胀  涨
通 情 达 ? 	理  礼
异 曲 同 ? 	工  功
偷 工 ? 料 	简  减
头 ? 是 道 	头  投
走 ? 无 路 	头  投
图 谋 不 ? 	规  轨
生 灵 涂 ? 	碳  炭
推 ? 相 见 	诚  陈
推 崇 ? 至 	备  倍
推 ? 生 病 	脱  托
推 心 ? 腹 	置  至
? 化 变 质 	退  蜕
? 积 居 奇 	屯  囤
脱 ? 而 出 	颍  颖
歪 风 ? 气 	邪  斜
歪 门 ? 道 	邪  斜
完 ? 归 赵 	璧  壁
玩 世 不 ? 	公  恭
万 古 ? 青 	长  常
万 ? 家 财 	冠  贯
万 籁 ? 寂 	俱  具
? 费 心 机 	妄  枉
置 若 ? 闻 	罔  惘
忘 恩 负 ? 	义  意
忘 ? 所 以 	乎  夫
望 而 ? 步 	怯  却
正 襟 ? 坐 	威  危
危 言 ? 听 	耸  悚
危 如 ? 卵 	磊  累
微 言 大 ? 	义  意
为 富 不 ? 	忍  仁
运 筹 ? 幄 	帷  惟
委 ? 婉 转 	屈  曲
尾 大 不 ? 	吊  掉
文 恬 武 ? 	嘻  嬉
? 过 饰 非 	文  闻
有 条 不 ? 	紊  稳
? 从 不 问 	协  胁
无 人 问 ? 	津  斤
左 右 开 ? 	弓  工
坐 地 分 ? 	赃  脏
坐 以 待 ? 	毖  毙
暴 ? 恣 睢 	利  戾
自 ? 得 意 	鸣  名
自 食 其 ? 	力  利
自 ? 不 凡 	名  命
? 智 多 谋 	足  卓
飞 机 着 ? 	陆  落
谆 谆 告 ? 	戒  诫
抓 耳 ? 腮 	挠  扰
钟 灵 ? 秀 	玉  毓
奋 斗 终 ? 	生  身
仲 ? 委 员 	栽  裁
寡 不 ? 众 	敌  抵
不 ? 众 望 	浮  孚
关 怀 ? 至 	倍  备
珠 ? 璧 合 	连  联
? 济 灾 民 	赈  振
指 手 ? 脚 	划  画
? 重 其 事 	郑  珍
步 入 正 ? 	轨  规
直 言 不 ? 	晦  讳
执 ? 不 悟 	谜  迷
? 本 兼 治 	标  表
治 丝 益 ? 	纷  棼
志 大 ? 疏 	材  才
至 理 ? 言 	名  明
专 心 ? 志 	致  至
? 序 井 然 	秩  轶
中 流 ? 柱 	抵  砥
振 ? 有 词 	震  振
? 奋 人 心 	震  振
振 笔 ? 书 	疾  急
远 见 ? 识 	灼  卓
真 知 ? 见 	灼  卓
真 ? 大 白 	象  相
浅 尝 ? 止 	则  辄
作 奸 犯 ? 	科  课
照 本 宣 ? 	科  课
? 然 若 揭 	昭  照
仗 义 ? 财 	输  疏
明 火 ? 杖 	执  制
彰 善 ? 恶 	瘅  惮
战 战 兢 ? 	兢  惊
斩 钉 ? 铁 	截  接
沾 ? 自 喜 	沾  玷
? 亲 带 故 	沾  玷
令 人 ? 舌 	咋  乍
不 骄 不 ? 	燥  躁
栽 ? 陷 害 	赃  脏
古 今 杂 ? 	糅  揉
? 身 不 恤 	陨  殒
芸 ? 众 生 	芸  纭
越 俎 代 ? 	庖  包
? 木 求 鱼 	沿  缘
? 林 	圆  园
? 艺 	圆  园
语 无 ? 次 	论  伦
坐 收 ? 利 	鱼  渔
余 勇 可 ? 	沽  贾
? 于 成 见 	宥  囿
? 名 钓 誉 	估  沽
有 口 皆 ? 	碑  杯
怨 天 ? 人 	犹  尤
利 害 ? 关 	攸  悠
? 柔 寡 断 	犹  优
? 气 用 事 	意  义
始 作 ? 者 	俑  踊
? 往 直 前 	勇  永
永 ? 青 春 	保  葆
一 ? 而 入 	拥  涌
? 塞 不 通 	壅  拥
? 荣 华 贵 	雍  壅
庸 庸 碌 ? 	碌  录
心 心 相 ? 	应  印
隐 ? 约 约 	影  隐
影 ? 绰 绰 	影  隐
引 ? 自 责 	疚  咎
因 ? 施 教 	才  材
学 习 ? 业 	肆  肄
? 正 词 严 	意  义
? 气 风 发 	意  义
不 郎 不 ? 	秀  莠
受 益 ? 浅 	非  匪
词 不 达 ? 	意  义
? 老 卖 老 	以  倚
? 笑 大 方 	贻  遗
? 害 无 穷 	贻  遗
以 逸 ? 劳 	代  待
以 一 ? 十 	挡  当
? 然 自 得 	贻  怡
毫 无 疑 ? 	义  议
移 花 ? 木 	接  截
不 ? 余 力 	贻  遗
一 视 同 ? 	人  仁
一 ? 千 金 	喏  诺
一 劳 永 ? 	易  逸
一 脉 相 ? 	承  成
一 ? 不 振 	蹶  獗
一 ? 而 论 	概  盖
一 ? 而 就 	蹴  促
一 ? 不 变 	成  层
吊 ? 执 照 	消  销
弃 甲 ? 兵 	曳  拽
? 武 扬 威 	跃  耀
? 无 音 信 	沓  杳
? 高 气 扬 	趾  指
洋 ? 洒 洒 	洋  扬
眼 花 ? 乱 	撩  缭
演 ? 推 理 	译  绎
? 袭 成 规 	延  沿
严 正 ? 明 	申  声
严 阵 以 ? 	待  代
严 惩 不 ? 	贷  待
言 不 由 ? 	中  衷
和 ? 悦 色 	言  颜
? 没 无 闻 	淹  湮
恹 ? 欲 睡 	厌  恹
? 情 枉 法 	徇  殉
以 身 ? 国 	殉  徇
泱 ? 大 国 	泱  央
不 ? 为 训 	哫  足
雪 中 送 ? 	碳  炭
? 度 不 凡 	气  器
? 然 大 波 	喧  轩
千 头 万 ? 	绪  序
栩 ? 如 生 	栩  诩
大 相 径 ? 	庭  廷
? 寒 问 暖 	吁  嘘
一 ? 千 里 	泻  泄
心 安 ? 得 	礼  理
心 旷 神 ? 	饴  怡
心 劳 日 ? 	绌  拙
惺 ? 作 态 	猩  惺
凶 相 ? 露 	毕  必
热 ? 冷 缩 	胀  涨
直 抒 胸 ? 	意  臆
? 养 生 息 	修  休
修 ? 一 新 	葺  茸
秀 外 ? 中 	慧  惠
扶 老 ? 幼 	偕  携
白 头 ? 老 	携  偕
一 望 无 ? 	垠  银
不 拘 小 ? 	节  结
风 雨 潇 ? 	萧  潇
积 毁 ? 骨 	销  消
? 遥 法 外 	逍  消
宵 衣 ? 食 	旰  干
响 彻 云 ? 	霄  宵
降 龙 ? 虎 	服  伏
安 ? 若 素 	置  之
先 ? 后 兵 	理  礼
先 发 ? 人 	制  治
下 车 ? 始 	伊  一
? 迩 闻 名 	遐  瑕
相 形 见 ? 	绌  拙
相 辅 相 ? 	承  成
丢 人 ? 眼 	现  显
? 身 说 法 	现  显
细 枝 末 ? 	结  节
喜 出 ? 外 	往  望
? 事 宁 人 	惜  息
作 ? 时 间 	歇  息
流 言 ? 语 	蜚  菲
物 极 必 ? 	返  反
除 恶 ? 尽 	务  勿
五 体 ? 地 	投  头
五 彩 斑 ? 	烂  斓
无 ? 可 击 	懈  泄
无 所 ? 从 	适  是
无 所 不 ? 	至  致
无 ? 生 非 	事  是
无 ? 光 荣 	尚  上
无 ? 不 摧 	艰  坚
无 ? 于 事 	计  济
无 ? 之 谈 	计  稽
? 连 无 辜 	株  诛
无 耻 之 ? 	尤  犹
翻 来 ? 去 	覆  复
? 复 无 常 	返  反
乌 烟 ? 气 	脏  瘴
? 合 之 众 	污  乌
? 中 捉 鳖 	瓮  翁
瓮 声 ? 气 	翁  瓮
? 摇 撞 骗 	造  招
头 昏 脑 ? 	胀  涨
? 上 走 丸 	坂  板
自 ? 自 弃 	暴  曝
民 生 凋 ? 	敝  蔽
投 机 ? 把 	倒  捣
? 心 如 意 	趁  称
墨 守 ? 规 	陈  成
一 张 一 ? 	驰  弛
莫 可 ? 状 	名  明
循 规 ? 矩 	蹈  稲
欢 ? 春 节 	度  渡
三 ? 五 次 	番  翻
入 不 ? 出 	付  敷
英 雄 气 ? 	概  慨
发 扬 ? 大 	光  广
性 格 粗 ? 	犷  旷
行 踪 ? 秘 	诡  鬼
阴 谋 ? 计 	鬼  诡
精 神 ? 散 	焕  涣
模 范 事 ? 	绩  迹
情 不 自 ? 	尽  禁
前 ? 后 恭 	踞  倨
龙 盘 虎 ? 	踞  据
? 粒 归 仓 	棵  颗
身 体 ? 弱 	嬴  羸
大 多 ? 同 	雷  类
风 声 鹤 ? 	唳  戾
火 中 取 ? 	粟  栗
流 ? 忘 返 	连  练
史 无 前 ? 	列  例
风 ? 一 时 	糜  靡
个 中 三 ? 	味  昧
前 ? 后 继 	赴  扑
星 罗 ? 布 	棋  旗
? 恶 不 悛 	沽  怙
? 费 苦 心 	煞  杀
按 ? 就 班 	步  部
? 苗 助 长 	揠  偃
记 忆 ? 新 	尤  犹
向 ? 而 泣 	偶  隅
大 伤 ? 气 	原  元
改 弦 更 ? 	张  章
丰 富 多 ? 	采  彩
? 远 流 长 	渊  源
众 目 睽 ? 	暌  睽
洗 耳 ? 听 	恭  躬
人 心 ? 背 	像  向
万 ? 更 新 	象  像
毋 ? 讳 言 	镛  庸
支 ? 其 词 	吾  无
切 ? 琢 磨 	搓  磋
无 ? 之 灾 	忘  妄
不 ? 人 事 	醒  省
不 言 而 ? 	喻  瑜
不 ? 赐 教 	另  吝
老 ? 常 谈 	声  生
尽 心 ? 力 	竭  揭
各 行 其 ? 	事  是
言 之 ? 足 	糟  凿
投 鼠 ? 器 	计  忌
形 影 相 ? 	掉  吊
? 铢 必 较 	锱  淄
含 蓄 蕴 ? 	籍  藉
人 情 ? 故 	事  世
一 ? 对 联 	副  幅
天 翻 地 ? 	复  覆
食 不 果 ? 	副  腹
震 ? 人 心 	撼  憾
如 期 ? 工 	峻  竣
不 落 ? 臼 	巢  窠
死 皮 ? 脸 	赖  癞
? 天 白 云 	兰  蓝
蛛 丝 ? 迹 	马  蚂
以 偏 ? 全 	概  盖
九 ? 方 圆 	洲  州
? 署 已 定 	布  部
? 发 图 强 	奋  愤
? 无 人 道 	残  惨
鞠 躬 尽 ? 	瘁  粹
? 然 销 魂 	暗  黯
? 精 竭 虑 	殚  惮
佼 ? 者 	皎  佼
财 ? 科 	物  务
? 食 品 	副  付
文 绉 ? 	诌  绉
? 输 知 识 	贯  灌
羽 扇 ? 巾 	伦  纶
横 ? 长 江 	度  渡
? 落 腐 化 	坠  堕
明 ? 是 非 	辨  辩
磕 磕 绊 ? 	绊  拌
脉 ? 微 弱 	博  搏
曲 高 ? 寡 	和  合
义 不 容 ? 	词  辞
浪 ? 金 钱 	废  费
官 运 ? 通 	享  亨
声 音 ? 亮 	洪  宏
? 对 服 从 	绝  决
尚 待 商 ? 	榷  确
无 礼 ? 骂 	谩  漫
心 ? 意 懒 	灰  恢
观 ? 学 教 	磨  摩
金 ? 无 缺 	殴  瓯
临 ? 书 法 	摹  摩
? 献 巨 大 	供  贡
如 法 ? 制 	炮  泡
? 纵 即 逝 	稍  少
? 口 不 言 	缄  箴
? 沙 拣 金 	披  批
风 尘 仆 ? 	仆  扑
事 过 ? 迁 	境  景
兢 ? 业 业 	精  兢
绿 树 成 ? 	阴  荫
学 识 ? 养 	休  修
? 角 之 势 	掎  奇
循 序 ? 进 	渐  前
? 兵 不 动 	安  按
挑 肥 ? 瘦 	拣  捡
肺 ? 之 言 	腹  腑
如 ? 在 喉 	鲠  梗
愤 世 ? 俗 	嫉  疾
浮 想 ? 翩 	联  连
? 芳 百 世 	留  流
? 里 藏 针 	绵  棉
? 珠 暗 投 	名  明
苦 思 ? 想 	瞑  冥
各 ? 己 见 	书  抒
众 口 ? 金 	烁  铄
? 不 知 耻 	恬  括
暴 ? 天 物 	殄  舔
按 ? 索 骥 	途  图
应 接 不 ? 	遐  暇
? 章 摘 句 	寻  循
桀 ? 不 驯 	骜  傲
万 马 齐 ? 	喑  暗
以 身 作 ? 	则  责
? 心 感 谢 	中  衷
一 见 ? 情 	钟  衷
惴 ? 不 安 	惴  揣
摇 摇 欲 ? 	坠  堕
虚 ? 以 待 	座  左
原 形 ? 露 	毕  必
远 大 ? 负 	报  抱
蓄 意 ? 复 	报  抱
投 桃 ? 李 	报  抱
以 德 ? 怨 	报  抱
? 怨 不 堪 	报  抱
深 受 蒙 ? 	蔽  敝
? 帚 自 珍 	蔽  敝
艰 苦 ? 尝 	倍  备
良 ? 美 景 	辰  晨
? 璨 夺 目 	璀  催
神 ? 飞 扬 	采  彩
风 ? 动 人 	釆  彩
保 护 国 ? 	萃  粹
? 罪 立 功 	带  戴
买 ? 还 珠 	牍  椟
老 实 本 ? 	份  分
? 工 重 来 	反  返
? 狫 	狇  狈
? 獉 	狉  狍
? 狋 	狏  狋
狋 ? 	觺  扆
? 吽 牙 	狓  狋
狍 ? 	斅  鸮
? 猖 	狏  狓
? 狸 	猦  獆
禺 ? 	猇  狺
? 猊 	猈  狻
? 蹏 	猍  猑
猓 ? 	猡  猉
? 猔 	猕  狜
? 狗 	猧  猘
骍 ? 	犅  犌
? 牲 	犆  犈
搿 ? 	犋  犉
? 子 	犉  犍
? 牛 	犐  犏
